Ex.,Name,Ticker,QMV($),HQ Region,HQ Location,Sector,Sub Sector
TSXV,01 Communique Laboratory Inc.,ONE,1996314.21,Canada,ON,Technology,Software
TSXV,22 Capital Corp.,LFC.P,1500000,Canada,ON,CPC,
TSXV,3D Signatures Inc.,DXD,9815869.86,Canada,MB,Life Sciences,Biotechnology
TSXV,3TL Technologies Corp.,TTM,3646120.14,Canada,BC,Technology,Software
TSXV,49 North Resources Inc.,FNR,5022603.25,Canada,SK,Financial Services,
TSX,5N Plus Inc.,VNP,325273787.51,Canada,QC,Clean Technology,Renewable Energy Equipment Manufacturing and Tech
TSXV,88 Capital Corp.,EEC,177714.76,Canada,BC,Mining,
TSXV,92 Resources Corp.,NTY,5028746.04,Canada,BC,Mining,
TSX,A&W Revenue Royalties Income Fund,AW.UN,408463328.91,Canada,BC,,Consumer Discretionary
TSXV,Abacus Mining & Exploration Corporation,AME,18013420.14,Canada,BC,Mining,
TSXV,ABcann Global Corporation,ABCN,53280697.89,Canada,ON,Life Sciences,"Medical Marijuana,Cannabis"
TSXV,Abcourt Mines Inc.,ABI,19367475.26,Canada,QC,Mining,
TSXV,ABE Resources Inc.,ABE,23927428,Canada,QC,Mining,
TSXV,Aben Resources Ltd.,ABN,8294170.8,Canada,BC,Mining,
TSX,Aberdeen Asia-Pacific Income Investment Company Ltd.,FAP,239709898.24,USA,USA,Financial Services,
TSX,Aberdeen International Inc.,AAB,12003158.07,Canada,ON,Financial Services,
TSXV,Abitibi Royalties Inc.,RZZ,104959017.92,Canada,QC,Mining,
TSXV,Abraplata Resource Corp.,ABRA,17556604.16,Canada,BC,Mining,
TSX,Absolute Software Corporation,ABT,313672934.25,Canada,BC,Technology,Software
TSX,Acadian Timber Corp.,ADN,307854374.4,Canada,BC,,Forest Products & Paper
TSX,Acasta Enterprises Inc.,AEF,646078261.5,Canada,ON,Financial Services,
TSXV,Acasti Pharma Inc.,ACST,24274885.8,Canada,QC,Life Sciences,Pharmaceuticals
TSXV,Acceleware Ltd.,AXE,14977418.05,Canada,AB,Technology,Software
TSX,Accord Financial Corp.,ACD,73024797.27,Canada,ON,Financial Services,
TSX,Acerus Pharmaceuticals Corporation,ASP,23443050.95,Canada,ON,Life Sciences,Pharmaceuticals
TSXV,Ackroo Inc.,AKR,2715118,Canada,ON,Technology,Internet Software & Services
TSXV,AcuityAds Holdings Inc.,AT,139608028.87,Canada,ON,Technology,Internet Software & Services
TSXV,Adamera Minerals Corp.,ADZ,17626289.25,Canada,BC,Mining,
TSXV,Added Capital Inc.,AAD,510837.99,Canada,ON,Financial Services,
TSXV,Adex Mining Inc.,ADE,3386057.205,Canada,ON,Mining,
TSX,ADF Group Inc.,DRX,50303272.25,Canada,QC,,
TSXV,Adira Energy Ltd.,ADL,413492.7,Other,Israel,Oil & Gas,
TSXV,Advance Gold Corp.,AAX,627322.26,Canada,BC,Mining,
TSXV,Advanced Proteome Therapeutics Corporation,APC,7360189.87,USA,USA,Life Sciences,Biotechnology
TSXV,Advantage Lithium Corp.,AAL,60777661.95,Canada,BC,Mining,
TSX,Advantage Oil & Gas Ltd.,AAV,1586390660.34,Canada,AB,Oil & Gas,
TSX,Advantaged Canadian High Yield Bond Fund,AHY.UN,21649094.04,Canada,ON,Closed-End Funds,
TSXV,Advent-AWI Holdings Inc.,AWI,15038746.38,Canada,BC,Technology,Communication Technology
TSXV,Adventus Zinc Corporation,ADZN,14193608.4,Canada,ON,Mining,
TSXV,Adya Inc.,ADYA,1890883.32,Canada,ON,Comm & Media,
TSX,Aecon Group Inc.,ARE,1060135535.94,Canada,ON,,
TSXV,Aequus Pharmaceuticals Inc.,AQS,10692571.89,Canada,BC,Life Sciences,Biotechnology
TSX,AEterna Zentaris Inc.,AEZS,36331945.44,Canada,QC,Life Sciences,Biotechnology
TSXV,Affinity Metals Corp.,AFF,1558232.625,Canada,BC,Mining,
TSXV,Africa Energy Corp.,AFE,57451884.3,Canada,BC,Oil & Gas,
TSX,Africa Oil Corp.,AOI,881270952.82,Canada,BC,Oil & Gas,
TSXV,"African Gold Group, Inc.",AGG,19777046.905,Canada,ON,Mining,
TSXV,African Queen Mines Ltd.,AQ,3962555.975,Canada,BC,Mining,
TSX,AG Growth International Inc.,AFN,1217905301.4,Canada,MB,,Agriculture
TSX,Agellan Commercial Real Estate Investment Trust,ACR.UN,352270846.53,Canada,ON,Real Estate,Industrial/Office/Retail/Residential
TSX,AGF Management Limited,AGF.B,595967271.06,Canada,ON,Financial Services,
TSXV,"Agility Health, Inc.",AHI,9589066.02,USA,USA,Life Sciences,Healthcare Facilities and Equipment
TSX,AgJunction Inc.,AJX,67311908.82,USA,USA,Technology,"Agriculture,Software"
TSX,Agnico Eagle Mines Limited,AEM,13498071544.85,Canada,ON,Mining,
TSX,Agrium Inc.,AGU,17238889909.68,Canada,AB,Mining,Agriculture
TSX,AGT Food and Ingredients Inc.,AGT,616335110.48,Canada,SK,,"Consumer Staples,Agriculture"
TSXV,Aguia Resources Limited,AGRL,49223296.92,Australia/NZ/PNG,Australia,Mining,Agriculture
TSXV,Aguila American Gold Limited,AGL,581996.4,Canada,BC,Mining,
TSX,Aimia Inc.,AIM,331000631.35,Canada,QC,,Consumer Discretionary
TSX,Air Canada,AC,5386033736.25,Canada,QC,,
TSX,AirBoss of America Corp.,BOS,305918067,Canada,ON,,Consumer Discretionary
TSXV,AirIQ Inc.,IQ,4628631.52,Canada,ON,Technology,Software
TSX,Akita Drilling Ltd.,AKT.A,133627243.03,Canada,AB,,Energy Services
TSXV,Alabama Graphite Corp.,CSPG,19617550.245,Canada,ON,Mining,
TSX,Alacer Gold Corp.,ASR,609629338.24,USA,USA,Mining,
TSX,Alamos Gold Inc.,AGI,2654335898.36,Canada,ON,Mining,
TSX,Alaris Royalty Corp.,AD,821450847.98,Canada,AB,Financial Services,
TSX,AlarmForce Industries Inc.,AF,121088709,Canada,ON,,Consumer Discretionary
TSXV,Alaska Hydro Corporation,AKH,2953184.71,USA,USA,Clean Technology,Renewable Energy Production and Distribution
TSXV,Alba Minerals Ltd.,AA,2693469.555,Canada,BC,Mining,
TSX,Alderon Iron Ore Corp.,IRON,42943569.825,Canada,BC,Mining,
TSXV,Aldershot Resources Ltd.,ALZ,2484886.65,Canada,BC,Mining,
TSXV,Aldever Resources Inc.,ALD,1830105.405,Canada,BC,Mining,
TSXV,Aldridge Minerals Inc.,AGM,30901027.08,Canada,BC,Mining,
TSXV,Alexandria Minerals Corporation,AZX,33499199.93,Canada,ON,Mining,
TSX,Alexco Resource Corp.,AXR,171981783.5,Canada,BC,Mining,
TSXV,Algold Resources Ltd.,ALG,25127552.25,Canada,QC,Mining,
TSX,Algoma Central Corporation,ALC,559702742,Canada,ON,,
TSX,Algonquin Power & Utilities Corp.,AQN,5312960985.03,Canada,ON,Clean Technology,Renewable Energy Production and Distribution
TSXV,Alianza Minerals Ltd.,ANZ,4659070.92,Canada,BC,Mining,
TSX,Alignvest Acquisition II Corporation,AQY.A,392437500,Canada,ON,,
TSX,Alimentation Couche-Tard Inc.,ATD.B,33812293279.16,Canada,QC,,Consumer Staples
TSX,Alio Gold Inc.,ALO,228594266.4,Canada,BC,Mining,
TSXV,Alix Resources Corp.,AIX,2540061.685,Canada,BC,Mining,
TSX,Allbanc Split Corp.,ABK.A,51932202.08,Canada,ON,Closed-End Funds,
TSX,Allbanc Split Corp. II,ALB,43945200,Canada,ON,Closed-End Funds,
TSXV,Alliance Mining Corp.,ALM,17402409.9,Canada,BC,Mining,
TSXV,Allied Hotel Properties Inc.,AHP,4784726.925,Canada,BC,Real Estate,Specialized
TSX,Allied Properties Real Estate Investment Trust,AP.UN,3244217020.1,Canada,ON,Real Estate,Industrial/Office/Retail/Residential
TSX,Almaden Minerals Ltd.,AMM,148208845.76,Canada,BC,Mining,
TSXV,Almadex Minerals Limited,AMZ,54663420.66,Canada,BC,Mining,
TSXV,Almonty Industries Inc.,AII,30089055.855,USA,USA,Mining,
TSXV,Alopex Gold Inc.,AEX,7177725,Canada,ON,Mining,
TSXV,Alpha Peak Leisure Inc.,AAP,2874128.49,Canada,BC,,Consumer Discretionary
TSXV,Alphamin Resources Corp.,AFM,188344515.18,Africa,Mauritius,Mining,
TSXV,Alphinat Inc.,NPA,4040257.6,Canada,QC,Technology,Internet Software & Services
TSXV,Alset Minerals Corp.,ION,5980864.56,Canada,BC,Mining,
TSXV,Alta Natural Herbs & Supplements Ltd.,AHS,1312998.295,Canada,BC,,Consumer Staples
TSX,AltaGas Ltd.,ALA,8274147657.04,Canada,AB,,Energy Services
TSXV,Altai Resources Inc.,ATI,3582380.88,Canada,ON,Mining,
TSXV,Altair Resources Inc.,AVX,13462605.27,Canada,BC,Mining,
TSXV,Altamira Gold Corp.,ALTA,7338218.95,Canada,BC,Mining,
TSXV,Altan Nevada Minerals Limited,ANE,372211.395,Canada,BC,Mining,
TSXV,Altan Rio Minerals Limited,AMO,1782460.18,Canada,BC,Mining,
TSX,Alterra Power Corp.,AXY,349259001.88,Canada,BC,Clean Technology,Renewable Energy Production and Distribution
TSXV,Altima Resources Ltd.,ARH,1157627.24,Canada,BC,Oil & Gas,
TSXV,Altiplano Minerals Ltd.,APN,5918773.04,Canada,AB,Mining,
TSXV,Altitude Resources Inc.,ALI,1268074.94,Canada,AB,Mining,
TSX,Altius Minerals Corporation,ALS,488392820.58,Canada,NL,Mining,
TSXV,Alto Ventures Ltd.,ATV,3446966.48,Canada,BC,Mining,
TSXV,Altura Energy Inc.,ATU,11669470.4,Canada,AB,Oil & Gas,
TSXV,Alturas Minerals Corp.,ALT,1984657.44,Latin America,Peru,Mining,
TSX,Altus Group Limited,AIF,986871906.72,Canada,ON,,
TSXV,Alvopetro Energy Ltd.,ALV,17885042.91,Canada,AB,Oil & Gas,
TSXV,ALX Uranium Corp.,AL,5972220.87,Canada,BC,Mining,
TSXV,Amarc Resources Ltd.,AHR,26176330.98,Canada,BC,Mining,
TSXV,Amarillo Gold Corporation,AGC,27035773.05,Canada,BC,Mining,
TSX,Amaya Inc.,AYA,3252944031.15,Canada,QC,Technology,Software
TSX,American Core Sectors Dividend Fund,ACZ.UN,19710913.43,Canada,AB,Closed-End Funds,
